Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,284
design__inferred_latch__count,0
design__instance__count,198
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 2435.0 3782.5
design__core__bbox,5.52 10.88 2429.26 3769.92
design__io,2188
design__die__area,9.21039E+6
design__core__area,9.11094E+6
design__instance__area,8.66236E+6
design__instance__count__stdcell,0
design__instance__area__stdcell,0
design__instance__count__macros,198
design__instance__area__macros,8.66236E+6
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.950765
design__instance__utilization__stdcell,0
design__rows,2755
design__rows:unithd,2755
design__sites,255791
design__sites:unithd,255791
design__instance__count__class:macro,198
design__instance__area__class:macro,8.66236E+6
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,770212
design__power_grid_violation__count__net:VGND,770212
design__power_grid_violation__count,1540424
floorplan__design__io,2186
design__io__hpwl,176593530
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,192153
design__violations,0
antenna__violating__nets,216
antenna__violating__pins,227
route__antenna_violation__count,216
route__net,47720
route__net__special,2
route__drc_errors__iter:0,129
route__wirelength__iter:0,170122
route__drc_errors__iter:1,2
route__wirelength__iter:1,169859
route__drc_errors__iter:2,2
route__wirelength__iter:2,169870
route__drc_errors__iter:3,0
route__wirelength__iter:3,169868
route__drc_errors,0
route__wirelength,169868
route__vias,1946
route__vias__singlecut,1946
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2255.71
design__xor_difference__count,0
magic__illegal_overlap__count,0
